1215,1775998496396,sheep,0.649,"[0,137,28,160]"
1216,1775998496396,sheep,0.555,"[0,137,28,160]"
1224,1775998496714,sheep,0.653,"[0,136,28,160]"
1225,1775998496751,sheep,0.645,"[0,136,28,160]"
1344,1775998501703,bird,0.850,"[106,13,206,153]"
1348,1775998501871,bird,0.918,"[111,13,204,153]"
1353,1775998502078,bird,0.921,"[113,12,201,153]"
1366,1775998502622,bird,0.926,"[80,14,252,153]"
1380,1775998503203,bird,0.823,"[106,36,172,153]"
1400,1775998504036,bird,0.794,"[107,41,174,152]"
1413,1775998504581,bird,0.771,"[108,38,174,152]"
1417,1775998504745,bird,0.878,"[108,39,173,153]"
1575,1775998511392,cat,0.553,"[139,99,237,142]"
2003,1775998529169,dog,0.645,"[105,56,232,177]"
2046,1775998530954,dog,0.617,"[100,49,228,177]"
2063,1775998531662,dog,0.558,"[105,39,228,177]"
2065,1775998531750,dog,0.620,"[101,0,227,177]"
2068,1775998531879,dog,0.564,"[100,32,228,178]"
2069,1775998531922,dog,0.679,"[100,40,227,178]"
2071,1775998532000,dog,0.765,"[100,40,227,178]"
2072,1775998532044,dog,0.600,"[98,14,228,177]"
2075,1775998532163,dog,0.669,"[99,8,227,177]"
2076,1775998532213,dog,0.579,"[99,23,227,177]"
2077,1775998532262,dog,0.541,"[99,19,227,177]"
2079,1775998532334,dog,0.643,"[99,3,227,177]"
2083,1775998532499,dog,0.535,"[104,0,232,177]"
2093,1775998532912,cat,0.555,"[28,61,133,140]"
2100,1775998533263,sheep,0.770,"[16,46,142,140]"
2101,1775998533264,sheep,0.755,"[16,43,142,140]"
2102,1775998533294,cat,0.573,"[16,42,143,140]"
2107,1775998533521,cat,0.686,"[18,34,141,147]"
2108,1775998533538,cat,0.718,"[17,37,142,148]"
2113,1775998533751,dog,0.542,"[20,47,153,150]"
2115,1775998533833,cat,0.637,"[21,59,160,150]"
2125,1775998534245,sheep,0.786,"[27,9,178,151]"
2126,1775998534293,sheep,0.580,"[47,5,177,151]"
2182,1775998536637,cat,0.513,"[36,20,155,157]"
2186,1775998536786,cat,0.693,"[28,21,155,157]"
2188,1775998536876,cat,0.773,"[40,14,154,157]"
2190,1775998536965,cat,0.840,"[70,11,154,158]"
2191,1775998536997,cat,0.865,"[72,11,154,158]"
2193,1775998537079,cat,0.827,"[69,10,152,158]"
2219,1775998538168,bird,0.666,"[70,22,159,158]"
2224,1775998538397,sheep,0.629,"[70,21,152,158]"
2225,1775998538416,sheep,0.684,"[70,21,154,158]"
2227,1775998538496,sheep,0.606,"[69,22,153,157]"
2228,1775998538555,sheep,0.723,"[69,21,153,157]"
2235,1775998538831,cat,0.735,"[71,23,154,157]"
2239,1775998538995,cat,0.740,"[70,22,161,158]"
2240,1775998539041,cat,0.745,"[71,21,167,158]"
2241,1775998539082,cat,0.530,"[74,21,172,157]"
2247,1775998539337,cat,0.737,"[85,16,177,164]"
2248,1775998539379,cat,0.751,"[86,14,178,168]"
2250,1775998539476,cat,0.780,"[95,17,181,169]"
2252,1775998539540,cat,0.756,"[99,15,181,166]"
2253,1775998539583,cat,0.789,"[101,12,184,166]"
2254,1775998539651,cat,0.834,"[103,10,187,167]"
2255,1775998539662,cat,0.889,"[105,8,188,166]"
2257,1775998539746,cat,0.829,"[108,29,194,169]"
2262,1775998539956,cat,0.821,"[122,13,221,174]"
2265,1775998540086,cat,0.635,"[132,21,225,176]"
2267,1775998540169,cat,0.787,"[144,22,236,177]"
2269,1775998540253,bear,0.553,"[154,20,246,177]"
2270,1775998540288,bear,0.528,"[159,20,254,178]"
2271,1775998540361,bear,0.701,"[163,16,257,178]"
2273,1775998540418,bear,0.699,"[160,10,269,178]"
2274,1775998540458,bear,0.577,"[172,12,271,177]"
2275,1775998540495,bear,0.625,"[172,12,274,177]"
2278,1775998540623,bear,0.785,"[183,26,283,177]"
2282,1775998540789,bear,0.556,"[191,16,298,178]"
2286,1775998540957,bear,0.536,"[203,34,312,178]"
